Title,Author,Category
Optimized reciprocal alliance,Brian Wood,Classic Fiction
Diverse encompassing knowledge user,Jennifer Lee,Classic Fiction
Total executive task-force,Lisa Barajas,Classic Fiction
Ameliorated eco-centric projection,Oscar Johns,Coming-of-age Fiction
Organized cohesive knowledge user,Joseph Perez,Classic Fiction
Reactive methodical utilization,James Hicks,Classic Fiction
De-engineered asymmetric paradigm,Tiffany Cohen,Dystopian Fiction
Robust next generation attitude,Ashley Brown,Dystopian Fiction
Configurable demand-driven definition,Derrick Hudson,Dystopian Fiction
Open-architected motivating instruction set,Michelle Stevenson,Classic Fiction
